urlID,Name,Career_length,Career_WS/48,Career_OBPM,Career_DBPM,Career_BPM,Career_VORP,Draft_pick,Undrafted,Retired,Rookie_age,Guard1,Forward1,Center1,G1,MP1,PER1,TS1,3PAr1,FTr1,ORB%1,DRB%1,TRB%1,AST%1,STL%1,BLK%1,TOV%1,USG%1,OWS1,DWS1,WS1,WS/48_1,OBPM1,DBPM1,BPM1,VORP1,Guard2,Forward2,Center2,G2,MP2,PER2,TS2,3PAr2,FTr2,ORB%2,DRB%2,TRB%2,AST%2,STL%2,BLK%2,TOV%2,USG%2,OWS2,DWS2,WS2,WS/48_2,OBPM2,DBPM2,BPM2,VORP2
willisc01,Scott Williams,15,0.08773333333333332,-2.9799999999999995,0.07999999999999992,-2.9,0.04666666666666666,Undrafted,1,1,22,0,1,0,51,337,14.7,0.546,0.019,0.269,14.9,19.3,17.1,6.2,1.8,2.4,16.5,17.7,0.4,0.5,0.9,0.129,-1.2,0.2,-1,0.1,0,1,0,63,690,14.6,0.523,0.017,0.43,15.5,25.6,20.7,9.1,1,3.3,14.6,15,1,1.3,2.3,0.16,-0.9,1.7,0.9,0.5
wilsotr01,Trevor Wilson,4,0.022000000000000002,-3.2500000000000004,-1.05,-4.3,-0.15,36,0,1,22,0,1,0,25,162,4.9,0.338,0.029,0.371,10.5,16.7,13.5,9.5,1.5,0.4,17.3,25.1,-0.6,0.1,-0.5,-0.144,-8.1,-2.2,-10.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
winchke01,Kennard Winchester,3,0.08566666666666667,-2.466666666666667,-0.9,-3.366666666666667,-0.26666666666666666,Undrafted,1,1,24,0,1,0,64,607,8.8,0.451,0.082,0.184,6,5.8,5.9,5.9,1.3,1.3,10.2,20,-0.1,0.6,0.5,0.038,-4.2,-1.2,-5.4,-0.5,0,0,0,19,81,16.8,0.509,0.067,0.333,8.6,12.6,10.6,15.3,1.3,1.6,5.5,19.6,0.2,0.1,0.3,0.165,0.3,0,0.3,0
wrighho02,Howard Wright,2,0.1025,-1.0,-5.1000000000000005,-6.1,-0.1,Undrafted,1,1,23,0,1,0,15,164,8.7,0.469,0.021,0.511,7.8,22.6,15,2.5,1.2,1.8,16,17.1,-0.1,0.2,0.1,0.023,-5.8,-1.3,-7.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
wyndeaj01,A.J. Wynder,1,-0.051,-5.9,-3.5,-9.4,-0.1,Undrafted,1,1,26,1,0,0,6,39,7.6,0.387,0.083,0.667,3.1,5.2,4.2,24,1.3,0,20.5,21.1,-0.1,0,0,-0.051,-5.9,-3.5,-9.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
alexavi01,Victor Alexander,5,0.045399999999999996,-3.0,-1.2799999999999998,-4.32,-0.18,17,0,1,22,0,0,1,80,1350,13.9,0.561,0.002,0.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,1.1,1.4,2.5,0.09,-2.2,-0.7,-2.9,-0.3,0,0,1,72,1753,14.3,0.548,0.033,0.243,8.4,18.4,13.4,7.8,0.9,1.9,14,20,1.6,1.4,3,0.083,-1.2,-0.5,-1.8,0.1
anderke01,Kenny Anderson,14,0.09914285714285713,0.4714285714285714,-0.8071428571428573,-0.3142857142857144,1.3,2,0,1,21,1,0,0,64,1086,12.8,0.43,0.027,0.204,3.6,9,6.2,26.5,3,0.5,15.6,22.9,-0.6,1.1,0.5,0.022,-2.7,-0.9,-3.6,-0.5,1,0,0,55,2010,16.6,0.487,0.029,0.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,1.9,2.5,4.4,0.106,1.2,0.2,1.4,1.7
anthogr01,Greg Anthony,11,0.11154545454545456,0.5636363636363636,-0.5,0.0636363636363637,0.7272727272727273,12,0,1,24,1,0,0,82,1510,10.6,0.443,0.126,0.363,2.5,7.7,5.2,28.6,2,0.4,16.3,17.4,0.2,2,2.2,0.07,-2.6,-0.3,-2.8,-0.3,1,0,0,70,1699,13.7,0.469,0.072,0.379,2.8,8.1,5.6,33.3,3.4,0.5,17.5,15.1,1,3.6,4.6,0.131,-1.3,2.3,1.1,1.3
augmost01,Stacey Augmon,15,0.08853333333333332,-1.6066666666666667,0.8266666666666667,-0.76,0.66,9,0,1,23,1,0,0,82,2505,14.4,0.526,0.007,0.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,1.5,2.2,3.7,0.071,-0.3,0.6,0.3,1.5,1,0,0,73,2112,15.2,0.551,0.005,0.388,7.2,8,7.6,12.1,2.1,0.5,14.5,21.2,2.5,1.2,3.7,0.084,0.2,-0.6,-0.4,0.9
austiis01,Isaac Austin,9,0.04511111111111111,-3.7666666666666675,0.15555555555555559,-3.611111111111111,-0.1,48,0,1,22,0,0,1,31,112,15,0.515,0,0.652,11.6,23.1,17.6,6.7,0.9,1.1,11.9,25.9,0.1,0.2,0.3,0.112,-2.8,-2.4,-5.2,-0.1,0,0,1,46,306,11.4,0.491,0.009,0.393,14.6,14.8,14.7,2.9,1.3,2.9,14.9,21.7,0,0.4,0.3,0.052,-3.7,-1.4,-5.1,-0.2
bardost01,Steve Bardo,3,0.13633333333333333,1.6666666666666667,-2.4333333333333336,-0.8000000000000003,-0.06666666666666667,41,0,1,23,1,0,0,1,1,32.3,,,,100,0,54.6,0,0,0,,0,0,0,0,0.424,14.6,-8.6,6.1,0,1,0,0,23,175,7.7,0.367,0.097,0.274,5.7,18.3,11.4,23.9,2.2,1.1,19.7,20.1,-0.4,0.1,-0.3,-0.084,-5.5,-0.3,-5.9,-0.2
benoida01,David Benoit,7,0.08371428571428571,-1.7714285714285716,-0.48571428571428565,-2.2714285714285714,0.0857142857142857,Undrafted,1,1,23,0,1,0,77,1161,12.1,0.518,0.037,0.267,10.7,17.7,14.4,4.2,0.8,2.3,14.5,18.2,0.5,1.5,2,0.085,-2.6,-0.3,-2.9,-0.3,0,1,0,82,1712,11.3,0.504,0.166,0.257,8,17.8,13,3.6,1.3,1.6,12,18.8,0.3,2,2.3,0.065,-2.6,-0.6,-3.1,-0.5
brandte01,Terrell Brandon,11,0.14027272727272727,2.1999999999999997,-0.2636363636363636,1.9272727272727272,2.1545454545454543,11,0,1,21,1,0,0,82,1605,12.8,0.461,0.038,0.206,3.5,7.6,5.6,27.8,2.6,0.8,17.2,21.5,-0.6,1.5,0.9,0.028,-2.2,-0.8,-3,-0.4,1,0,0,82,1622,16.7,0.53,0.068,0.23,2.7,9.6,6.3,27.4,2.5,1,13.5,21.6,1.9,2.1,3.9,0.117,0.1,-0.3,-0.2,0.7
brookke01,Kevin Brooks,3,-0.011666666666666665,-5.233333333333333,-3.3333333333333335,-8.566666666666668,-0.5,18,0,1,22,0,1,0,37,270,10.2,0.494,0.113,0.216,4.9,11,7.8,6.1,1.4,0.5,14.5,18.7,0,0.2,0.1,0.025,-4.1,-2.1,-6.2,-0.3,0,1,0,55,571,8.4,0.453,0.112,0.172,4.1,11,7.5,8.7,0.8,0.2,13.5,20.7,-0.4,0.5,0,0.002,-4.7,-2.5,-7.2,-0.7
brownmy01,Myron Brown,1,0.032,-1.6,-3.5,-5.0,0.0,34,0,1,22,1,0,0,4,23,14.7,0.75,0.5,0,0,14.9,7.2,38.6,2.2,0,40,18.5,0,0,0,0.032,-1.6,-3.5,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,
brownra02,Randy Brown,12,0.04683333333333333,-4.008333333333334,0.6583333333333333,-3.3666666666666667,-0.033333333333333326,31,0,1,23,1,0,0,56,535,11.5,0.494,0.036,0.343,5.2,8.7,7,15.7,3.2,1.3,17.8,18.5,-0.2,0.5,0.3,0.028,-3.2,0,-3.2,-0.2,1,0,0,75,1726,11.3,0.511,0.012,0.323,4.6,9.2,6.8,15.8,3,1.2,17.8,15.9,0.2,1.7,1.9,0.052,-1.9,1.3,-0.7,0.6
calipde01,Demetrius Calip,1,-0.134,-7.6,-3.7,-11.3,-0.1,Undrafted,1,1,22,1,0,0,7,58,1.8,0.285,0.278,0.167,1.9,8,4.9,28.2,0.9,0,20.6,18.3,-0.2,0,-0.2,-0.134,-7.6,-3.7,-11.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
chilcpe01,Pete Chilcutt,9,0.059555555555555556,-1.8888888888888888,-0.17777777777777776,-2.0777777777777775,0.011111111111111108,27,0,1,23,0,1,0,69,817,11.2,0.478,0.008,0.112,10.3,14.4,12.3,6.6,1.9,1.2,13.5,15.5,0,0.7,0.7,0.042,-3.4,-0.5,-3.9,-0.4,0,1,0,59,834,13.4,0.502,0,0.135,10.3,15.8,12.9,11.8,1.3,1.6,13,20.2,0.3,0.7,1,0.055,-1.8,-0.5,-2.3,-0.1
conloma01,Marty Conlon,9,0.051,-2.911111111111111,-1.7555555555555555,-4.677777777777779,-0.1,Undrafted,1,1,24,0,0,1,45,381,9.3,0.521,0,0.317,9.8,11.1,10.4,4.3,1.2,1.2,19,15.7,0,0.2,0.3,0.037,-3,-1.3,-4.3,-0.2,0,0,1,46,467,15.9,0.53,0.023,0.474,11,18.6,14.6,11.7,1.3,0.7,11.9,20.5,0.6,0.4,1,0.105,-0.8,-1.3,-2.1,0
copato01,Tom Copa,1,0.078,-3.7,-0.9,-4.5,-0.1,Undrafted,1,1,27,0,0,1,33,132,10.7,0.525,0,0.325,11.7,18,14.9,3.3,0.8,2.8,14.9,17.2,0,0.2,0.2,0.078,-3.7,-0.9,-4.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
corchch01,Chris Corchiani,3,0.08433333333333333,-1.2,-1.0999999999999999,-2.2666666666666666,-0.10000000000000002,36,0,1,23,1,0,0,51,741,12.1,0.534,0.192,0.539,2.6,9.3,5.9,26.7,3,0.2,23.7,17.5,0.2,0.6,0.9,0.056,-1.8,-0.6,-2.3,-0.1,1,0,0,10,105,14.8,0.662,0.125,0.875,1.1,6.1,3.8,22,2.8,0,19.4,16.9,0.2,0.1,0.3,0.159,0.3,-1.3,-1,0
crowdco01,Corey Crowder,2,-0.0855,-6.25,-2.2,-8.45,-0.15000000000000002,Undrafted,1,1,22,0,1,0,51,328,8.4,0.475,0.268,0.161,5.8,8.2,7.1,7.2,1.1,0.4,9.8,17.5,0.1,0.3,0.4,0.053,-2.1,-1.8,-3.9,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
davisda01,Dale Davis,16,0.13812500000000003,-0.475,1.84375,1.36875,1.7875,13,0,1,22,0,1,0,64,1301,13.3,0.571,0.004,0.545,14.2,20.3,17.4,3,1,3.4,12.4,12.7,1.9,1.5,3.4,0.126,-1.1,0.3,-0.8,0.4,0,1,0,82,2264,16.3,0.573,0,0.421,14.2,20.7,17.5,4.2,1.4,4.1,11.1,13.3,4,2.9,6.9,0.146,0.5,1.8,2.4,2.5
delebi01,Bison Dele,8,0.09899999999999999,-1.6,0.875,-0.7125,0.5625,10,0,1,22,0,1,0,48,905,17.1,0.565,0,0.438,13.8,19.9,16.8,5.8,2.2,3.6,18.2,21.7,0.6,1.2,1.8,0.097,-1.2,1.1,-0.1,0.4,0,1,0,21,240,12.9,0.553,0.013,0.256,12,14.2,13.2,3.2,2.9,4.3,22.4,20.1,-0.1,0.4,0.3,0.069,-3.3,2,-1.3,0
eddiepa01,Patrick Eddie,1,-0.267,-16.8,-8.1,-24.9,-0.1,Undrafted,1,1,24,0,0,1,4,13,-8.8,0.222,0,0,0,8.7,4.4,0,0,0,0,30.2,-0.1,0,-0.1,-0.267,-16.8,-8.1,-24.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
ellisle02,LeRon Ellis,3,-0.023333333333333334,-6.5,0.0666666666666667,-6.466666666666666,-0.10000000000000002,22,0,1,22,0,0,1,29,103,8.6,0.368,0,0.38,12.9,13,13,1.4,2.9,5.5,15.9,28.6,-0.4,0.2,-0.2,-0.1,-9.7,-0.4,-10.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
foxri01,Rick Fox,13,0.08946153846153845,0.5153846153846153,0.19230769230769232,0.723076923076923,1.3538461538461537,24,0,1,22,0,1,0,81,1535,12.2,0.531,0.133,0.35,5.5,10.1,7.9,11.1,2.5,1.2,16.9,20.4,0.4,1.9,2.3,0.073,-0.8,0.8,0,0.8,0,1,0,71,1082,14.7,0.534,0.061,0.266,5.8,10.8,8.3,14.9,2.9,1.2,15.4,20.1,0.7,1.3,2.1,0.092,-0.2,1.1,1,0.8
